Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2024-07-14,LINK-USD,USD,13.02,13.51,12.92,13.43,13.43,279400255,0.41,3.15,12714944512
2024-07-14,LTC-USD,USD,69.85,70.50,69.34,69.97,69.97,229260943,0.12,0.17,7622200832
2024-07-14,MATIC-USD,USD,0.53,0.53,0.52,0.53,0.53,173257620,0.00,0.00,0
2024-07-14,NEAR-USD,USD,5.21,5.48,5.21,5.40,5.40,227103199,0.19,3.65,2972301568
2024-07-14,SOL-USD,USD,141.93,148.55,141.93,147.62,147.62,2009294488,5.69,4.01,110541570048
2024-07-14,TRX-USD,USD,0.14,0.14,0.14,0.14,0.14,289920335,0.00,0.00,28247525376
2024-07-14,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,11,0.00,,17388
2024-07-14,XRP-USD,USD,0.53,0.54,0.51,0.52,0.52,1570275472,-0.01,-1.89,157739499520
2024-07-15,ADA-USD,USD,0.43,0.45,0.43,0.45,0.45,466472243,0.02,4.65,23967385600
2024-07-15,ATOM-USD,USD,6.23,6.51,6.23,6.51,6.51,113074057,0.28,4.49,1506169472
2024-07-15,AVAX-USD,USD,26.38,27.87,26.32,27.85,27.85,358080889,1.47,5.57,8681321472
2024-07-15,BNB-USD,USD,544.92,586.54,544.70,586.14,586.14,2019082961,41.22,7.56,156638248960
2024-07-15,BTC-USD,USD,60815.46,64870.15,60704.93,64870.15,64870.15,-560179565,4054.69,6.67,2272121585664
2024-07-15,DOGE-USD,USD,0.12,0.13,0.11,0.13,0.13,865334768,0.01,8.33,30334775296
2024-07-15,DOT-USD,USD,6.33,6.54,6.30,6.50,6.50,236126117,0.17,2.69,5121885696
2024-07-15,ETH-USD,USD,3246.13,3494.10,3235.78,3489.55,3489.55,1125621206,243.42,7.50,496596582400
2024-07-15,ICP-USD,USD,8.62,9.89,8.62,9.72,9.72,143293427,1.10,12.76,1706506624
2024-07-15,LINK-USD,USD,13.43,14.48,13.42,14.42,14.42,373310473,0.99,7.37,12714944512
2024-07-15,LTC-USD,USD,69.98,72.51,69.82,72.46,72.46,353497138,2.48,3.54,7622200832
2024-07-15,MATIC-USD,USD,0.53,0.55,0.53,0.55,0.55,248101450,0.02,3.77,0
2024-07-15,NEAR-USD,USD,5.40,5.99,5.37,5.94,5.94,333282543,0.54,10.00,2972301568
2024-07-15,SOL-USD,USD,147.67,159.94,147.20,159.93,159.93,-1714343796,12.26,8.30,110541570048
2024-07-15,TRX-USD,USD,0.14,0.14,0.14,0.14,0.14,340651377,0.00,0.00,28247525376
2024-07-15,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,12,0.00,,17388
2024-07-15,XRP-USD,USD,0.52,0.54,0.52,0.54,0.54,1760362204,0.02,3.85,157739499520
